transaction_id,branch_id,timestamp,item_id,quantity,price,total_sale
8305,3,7/31/2022,9539,24,251.43,7168.03
8339,34,8/24/2021,3920,21,626.55,8228.72
2704,10,11/7/2021,8826,78,147.25,6210.52
479,10,5/8/2023,449,99,298.4,8645.48
9,27,3/5/2023,5522,69,985.77,453.89
3051,21,10/18/2021,7633,63,734.32,9439.12
8802,35,5/31/2023,5829,65,958.18,2916.59
6960,11,8/16/2022,9540,53,448.8,9681.99
92,10,1/5/2023,3189,44,226.13,4545.43
339,2,9/8/2021,3164,80,766.01,4602.76
9513,13,3/17/2021,1469,64,215.9,4721.59
502,7,12/26/2021,9301,91,546.92,779.01
4750,27,10/27/2022,3947,28,832.56,2170.68
1973,23,4/25/2023,1507,79,292.3,3038.29
9075,26,7/15/2021,8650,57,411.12,6378.37
3958,20,7/24/2023,4753,19,675.06,586.51
3527,1,2/21/2021,3789,84,780.31,2798.62
3639,14,6/21/2021,3993,100,596.55,4756.3
6095,6,9/20/2023,9612,32,446.31,5619.3
5758,8,9/24/2023,3682,60,864.81,9664.36
9276,2,6/6/2022,488,86,411.1,6561.59
7945,14,6/13/2021,3513,79,12.8,730.67
7940,9,8/14/2023,202,98,863.75,5238.13
6623,9,11/13/2023,1091,31,526.2,154.21
4441,23,4/28/2021,1460,9,920.88,6600.29
2818,22,9/19/2022,207,6,90.75,9482.89
2316,23,2/12/2022,860,12,364.81,944.22
3767,28,11/12/2021,8776,34,892.21,8047.76
5780,2,8/7/2023,688,15,359.29,8510.47
9433,10,12/11/2023,673,23,950.72,9576.78
630,30,12/22/2021,7733,31,820.72,2150.83
3562,19,1/9/2021,1109,77,917.57,1052.09
6293,4,7/13/2023,2341,9,625.53,6093.26
4772,12,3/30/2022,9398,18,380.49,1014.22
5513,11,3/16/2021,6424,6,241.05,5628.96
1805,7,2/21/2022,8448,21,927.4,7772.41
2934,26,12/18/2023,3300,58,697.01,1035.66
2377,24,7/8/2023,7903,100,740.1,8976.43
3020,8,7/28/2022,6812,29,583.56,1327.65
2098,28,10/25/2022,5292,1,953.95,8670.65
6307,7,7/8/2022,1616,17,558.97,3697.32
2801,30,1/8/2022,211,48,377.0,353.37
8770,22,5/2/2023,542,5,339.26,9858.37
67,2,10/17/2021,1142,48,940.64,3676.69
6184,1,10/16/2021,1430,52,725.65,5460.44
4615,6,11/24/2023,4010,83,640.71,6689.76
5345,31,7/1/2021,8062,24,343.48,4945.46
8731,4,2/25/2021,8481,7,52.84,6970.16
7113,26,5/12/2022,610,58,418.29,7604.77
5349,17,7/5/2021,3276,67,661.12,2654.13
6620,10,4/19/2022,6008,87,535.1,8700.56
2104,13,1/10/2021,6001,15,312.16,5448.07
1604,29,2/9/2022,5665,57,938.2,2530.16
6106,10,10/27/2023,9962,44,851.18,6969.4
123,5,6/12/2021,5854,81,455.23,1082.83
6618,4,11/14/2023,185,94,144.91,1488.47
273,17,9/8/2023,8466,83,839.28,7157.44
3346,31,10/25/2021,1329,39,655.78,9818.06
