item_id,branch_id,stock_level,reorder_level
9101,33.0,14341,766.0
4162,34.0,19924,756.0
3636,12.0,12545,712.0
5299,21.0,24072,917.0
4651,34.0,24706,664.0
7822,12.0,4374,35.0
8233,34.0,9464,511.0
977,20.0,3061,164.0
6128,21.0,8301,554.0
8025,11.0,19416,120.0
2377,6.0,23782,63.0
8088,9.0,4428,641.0
926,15.0,26099,387.0
6946,22.0,7187,780.0
4436,23.0,385,915.0
7402,2.0,8498,432.0
2017,16.0,14859,471.0
4605,31.0,16303,918.0
2269,10.0,11479,287.0
2503,30.0,11858,623.0
5675,34.0,4347,980.0
1178,24.0,8236,441.0
8537,26.0,8963,119.0
2039,17.0,12735,334.0
7197,1.0,24896,575.0
4248,11.0,6786,862.0
272,29.0,26292,996.0
3625,26.0,27270,80.0
4514,19.0,14109,138.0
1832,25.0,28612,475.0
3420,17.0,20548,49.0
2711,8.0,29440,600.0
1063,18.0,5365,576.0
4240,35.0,28777,170.0
449,14.0,13542,223.0
4091,8.0,28736,452.0
7585,11.0,12479,901.0
267,16.0,2361,573.0
3329,29.0,7461,388.0
4852,3.0,2663,487.0
6993,29.0,6617,80.0
5479,23.0,6863,63.0
3164,14.0,3829,839.0
3761,9.0,25518,396.0
9826,17.0,7963,423.0
1022,16.0,27402,517.0
6235,17.0,24382,454.0
5529,18.0,21315,130.0
5121,29.0,19511,326.0
6029,11.0,16132,925.0
8544,18.0,14124,736.0
9804,30.0,3200,249.0
9318,4.0,2600,831.0
716,18.0,1671,293.0
7500,32.0,13780,303.0
4026,3.0,27379,452.0
8691,15.0,25536,986.0
3835,7.0,20480,681.0
1695,9.0,13336,416.0
3825,28.0,22459,202.0
444,22.0,9717,512.0
7699,14.0,27854,417.0
9247,26.0,19192,292.0
1932,7.0,11787,347.0
4019,10.0,28566,627.0
485,1.0,6843,354.0
832,30.0,22531,272.0
6345,34.0,3160,858.0
1225,20.0,20055,132.0
8603,9.0,29392,670.0
1545,24.0,6208,784.0
8873,26.0,22733,833.0
1846,17.0,12636,660.0
9169,13.0,6851,688.0
3678,22.0,16229,537.0
1656,8.0,11915,269.0
7949,17.0,19768,169.0
791,33.0,16529,35.0
9008,26.0,13356,410.0
7441,34.0,18533,666.0
7232,4.0,29380,850.0
4863,16.0,25189,754.0
3976,8.0,21445,297.0
9517,16.0,26862,981.0
3041,20.0,21567,280.0
2082,16.0,13233,389.0
5804,17.0,759,470.0
6161,30.0,24941,627.0
3126,25.0,14977,486.0
5176,21.0,27198,104.0
4138,33.0,11465,866.0
6525,22.0,21226,862.0
4439,23.0,28981,21.0
778,32.0,28850,183.0
5036,22.0,13333,580.0
1726,14.0,8439,247.0
4830,4.0,20787,854.0
2216,13.0,9163,114.0
8281,28.0,23454,103.0
8935,8.0,8366,269.0
8333,13.0,28865,59.0
7675,23.0,29493,180.0
8639,23.0,24258,279.0
1251,19.0,21052,237.0
8083,34.0,28159,658.0
8830,17.0,17184,81.0
8972,25.0,22074,722.0
2281,10.0,9550,19.0
1360,12.0,6798,724.0
4758,26.0,27095,934.0
1966,22.0,9730,638.0
6000,4.0,26731,27.0
8265,5.0,4202,488.0
4606,22.0,29566,658.0
1649,5.0,19025,21.0
7368,35.0,18388,360.0
2243,14.0,18642,308.0
7966,14.0,3507,380.0
8621,27.0,22649,959.0
7408,33.0,17877,583.0
946,25.0,20834,161.0
3089,9.0,25302,144.0
1023,31.0,20863,261.0
4057,12.0,6137,304.0
9716,26.0,11198,895.0
8907,33.0,15135,958.0
9057,35.0,14887,106.0
5716,35.0,20859,419.0
9669,7.0,7226,588.0
9321,12.0,21831,869.0
9906,18.0,2069,642.0
2293,11.0,28071,998.0
3393,11.0,13119,417.0
7508,28.0,27446,957.0
246,27.0,23633,479.0
1934,17.0,29509,941.0
9754,24.0,18869,229.0
12,26.0,11988,295.0
8310,11.0,10667,48.0
3144,12.0,233,119.0
723,20.0,7338,836.0
9626,6.0,1877,947.0
4731,24.0,23683,838.0
2937,16.0,22115,163.0
4961,34.0,12232,160.0
7255,35.0,27040,45.0
4651,27.0,10066,381.0
9966,8.0,27291,599.0
828,34.0,871,589.0
1270,23.0,21720,994.0
1561,31.0,14859,539.0
5531,17.0,24505,365.0
1366,6.0,29921,173.0
8835,20.0,8789,172.0
3416,6.0,7345,889.0
5293,16.0,23726,210.0
9505,23.0,921,526.0
61,25.0,2000,345.0
975,18.0,25680,763.0
5451,18.0,14076,843.0
9126,13.0,19092,610.0
4464,7.0,3521,634.0
9770,13.0,20325,389.0
5672,23.0,28850,368.0
6384,3.0,21288,605.0
153,20.0,4876,111.0
1942,13.0,12941,177.0
2172,4.0,13348,709.0
9739,18.0,25265,467.0
8481,9.0,29180,903.0
9957,1.0,15081,275.0
9407,15.0,18143,987.0
8906,11.0,18892,227.0
9304,29.0,28871,127.0
7613,29.0,2131,678.0
2294,33.0,11216,471.0
5938,15.0,19047,920.0
1745,34.0,4091,897.0
3864,26.0,24085,594.0
6229,28.0,2598,632.0
3577,26.0,858,829.0
7103,15.0,3848,725.0
687,20.0,26558,181.0
4882,16.0,19246,301.0
7366,30.0,18063,191.0
6366,17.0,28992,514.0
2492,17.0,8825,325.0
4481,5.0,2759,200.0
4501,12.0,7098,497.0
3870,23.0,10080,652.0
3499,35.0,5613,975.0
3514,32.0,8154,26.0
3140,31.0,18073,731.0
2614,34.0,11063,569.0
4482,26.0,21575,409.0
144,31.0,25246,388.0
4533,5.0,21828,984.0
2342,26.0,4216,797.0
9298,22.0,8677,626.0
3967,6.0,12002,325.0
5778,14.0,5748,150.0
3887,35.0,16201,883.0
1133,19.0,25331,365.0
4201,19.0,28195,704.0
1780,31.0,21122,949.0
6762,6.0,29126,292.0
9195,17.0,21636,294.0
214,4.0,15223,69.0
114,8.0,20045,478.0
4664,4.0,5413,15.0
8231,33.0,14759,908.0
8660,27.0,11966,327.0
1805,19.0,13155,634.0
2796,21.0,18840,535.0
9041,9.0,22061,572.0
4440,35.0,13236,433.0
8642,8.0,7058,840.0
9395,16.0,2665,281.0
7313,2.0,14941,413.0
7731,9.0,2839,605.0
1781,12.0,373,647.0
3185,5.0,6706,836.0
9978,2.0,4050,524.0
8876,32.0,8581,947.0
2368,25.0,19521,539.0
825,26.0,25548,481.0
8586,12.0,21076,173.0
4074,19.0,4837,519.0
1139,13.0,6873,488.0
6325,20.0,1794,127.0
473,34.0,28104,16.0
5435,24.0,28411,408.0
8151,3.0,28288,215.0
9676,10.0,22730,260.0
564,16.0,2925,252.0
467,7.0,7088,886.0
8658,24.0,12309,726.0
468,32.0,16775,420.0
9023,26.0,25454,577.0
8383,3.0,8080,630.0
2731,27.0,22624,167.0
2190,24.0,20574,743.0
155,9.0,9348,634.0
5627,22.0,12183,74.0
2833,35.0,16091,970.0
9102,34.0,17004,428.0
2577,17.0,18547,700.0
435,31.0,13089,799.0
9590,30.0,2365,6.0
7125,4.0,10888,825.0
2118,7.0,2769,212.0
225,10.0,26929,638.0
8750,33.0,22269,947.0
7067,25.0,12173,512.0
8390,28.0,5550,324.0
6261,31.0,2609,945.0
8733,4.0,9792,506.0
247,17.0,5524,436.0
156,22.0,14041,771.0
7916,11.0,28262,617.0
4880,32.0,24241,440.0
8042,34.0,962,433.0
7191,31.0,15949,779.0
9572,12.0,989,470.0
9685,12.0,23543,606.0
9080,19.0,29274,92.0
3493,15.0,5555,859.0
7442,24.0,16311,218.0
3412,7.0,7281,456.0
1078,19.0,805,365.0
4639,22.0,25515,591.0
7200,18.0,4629,754.0
8435,25.0,18175,766.0
5473,19.0,7256,405.0
9726,2.0,7944,669.0
1588,7.0,23606,77.0
8699,10.0,4815,857.0
8030,32.0,1543,676.0
304,35.0,29836,767.0
7189,2.0,22506,838.0
5150,35.0,24814,875.0
987,21.0,1562,478.0
5459,31.0,8475,9.0
8327,21.0,165,691.0
268,7.0,5341,809.0
6247,9.0,28557,812.0
1771,22.0,1337,498.0
9668,26.0,23472,1.0
7190,23.0,4678,204.0
2493,25.0,20779,305.0
6849,23.0,9895,966.0
6915,32.0,18838,491.0
5340,26.0,21802,874.0
6256,5.0,29467,822.0
4079,7.0,24141,926.0
4958,32.0,22537,70.0
3235,24.0,21061,529.0
9147,30.0,9108,442.0
1178,26.0,9693,622.0
6469,35.0,20071,432.0
2881,17.0,28540,734.0
7877,24.0,20784,398.0
9576,30.0,7321,271.0
7888,19.0,12655,470.0
6219,2.0,5743,740.0
4107,14.0,10523,292.0
4316,19.0,1207,812.0
891,33.0,4560,481.0
903,4.0,5510,417.0
712,30.0,18784,808.0
9719,4.0,29776,211.0
3647,10.0,20829,474.0
6024,1.0,25667,771.0
9212,31.0,28924,356.0
2447,11.0,13012,514.0
1021,5.0,5840,652.0
6143,29.0,20337,682.0
3867,1.0,23420,732.0
9943,23.0,24222,159.0
7746,1.0,13066,678.0
170,16.0,14780,108.0
6393,19.0,946,664.0
2342,29.0,7007,135.0
2740,5.0,28582,599.0
3513,2.0,9804,219.0
9606,7.0,26096,472.0
515,31.0,20990,961.0
5030,20.0,15786,822.0
1890,20.0,29872,860.0
33,33.0,19795,642.0
9035,22.0,23074,142.0
1989,34.0,841,145.0
5559,15.0,352,821.0
3940,32.0,3977,409.0
9313,30.0,27481,771.0
2662,24.0,12098,934.0
3500,17.0,27511,551.0
8019,13.0,29910,647.0
5874,7.0,25237,440.0
518,16.0,23127,719.0
489,18.0,25126,818.0
4002,29.0,22230,571.0
2702,1.0,26541,670.0
7833,34.0,7194,643.0
4036,33.0,18116,824.0
3057,24.0,26066,926.0
7269,23.0,14809,632.0
117,26.0,24743,739.0
559,24.0,160,939.0
5510,30.0,26486,986.0
6094,6.0,27003,256.0
2033,24.0,13544,745.0
5264,10.0,14856,838.0
3992,14.0,18222,861.0
5011,23.0,2740,768.0
47,4.0,10869,841.0
7813,12.0,24734,84.0
4310,35.0,10576,558.0
5423,21.0,20411,349.0
2158,30.0,10290,50.0
2866,13.0,27320,853.0
5418,6.0,9035,945.0
6003,29.0,18446,90.0
508,13.0,28005,652.0
3632,24.0,23225,168.0
1,32.0,16596,647.0
7711,14.0,16627,186.0
1059,35.0,28009,896.0
8843,29.0,5425,10.0
3606,16.0,4089,862.0
285,31.0,2998,443.0
4962,19.0,16961,604.0
2848,12.0,3506,805.0
473,19.0,23060,786.0
9139,5.0,29701,898.0
1576,17.0,13344,211.0
8723,16.0,26794,79.0
3909,18.0,6785,821.0
5757,23.0,5674,109.0
2673,31.0,10786,819.0
8189,6.0,19723,135.0
1217,21.0,18696,457.0
8287,13.0,5744,917.0
398,30.0,29146,985.0
6672,15.0,2931,265.0
9209,23.0,22223,17.0
8536,24.0,20567,97.0
7501,5.0,2847,862.0
4130,13.0,22086,934.0
4249,35.0,512,401.0
3987,9.0,28478,274.0
5097,33.0,20617,567.0
8214,9.0,21560,419.0
8359,22.0,17848,75.0
868,28.0,10566,839.0
5715,16.0,2485,135.0
8368,15.0,2435,679.0
6837,26.0,992,74.0
391,12.0,28999,633.0
1345,25.0,27635,629.0
7541,32.0,7425,721.0
811,35.0,18686,210.0
4121,34.0,11810,996.0
155,28.0,28165,781.0
5449,8.0,2104,501.0
4314,28.0,632,169.0
83,31.0,22677,434.0
1369,11.0,1231,842.0
6859,20.0,21175,126.0
4294,18.0,3974,653.0
6178,15.0,20503,353.0
551,23.0,3464,709.0
1772,9.0,10170,996.0
6674,11.0,21552,939.0
6570,32.0,6053,167.0
8781,30.0,5601,780.0
9446,29.0,16286,561.0
2959,35.0,11976,375.0
9545,31.0,18538,954.0
5410,26.0,1407,962.0
6037,32.0,21696,216.0
9024,22.0,15822,381.0
5620,27.0,13714,353.0
8756,28.0,15411,386.0
5565,14.0,2361,299.0
4457,8.0,26865,246.0
4988,28.0,4501,645.0
1220,5.0,17870,960.0
4258,25.0,6785,871.0
2116,15.0,27416,194.0
7407,12.0,18889,566.0
9429,9.0,29979,501.0
6794,32.0,25085,290.0
5894,25.0,20400,545.0
3365,27.0,24784,219.0
5992,21.0,3204,913.0
3644,2.0,8995,70.0
8286,27.0,29107,833.0
3059,32.0,10229,779.0
3734,8.0,27151,168.0
4268,10.0,7550,959.0
1688,20.0,19665,665.0
1753,16.0,8580,574.0
8667,11.0,25633,726.0
5656,20.0,17796,413.0
466,27.0,17728,879.0
3677,15.0,23063,291.0
6028,31.0,16705,266.0
9827,5.0,8037,952.0
9430,13.0,10107,216.0
1923,16.0,7368,350.0
5847,5.0,12409,807.0
9246,8.0,16269,91.0
5102,15.0,2828,557.0
4601,35.0,28261,239.0
7622,12.0,19855,554.0
8005,8.0,5155,89.0
3124,8.0,12705,438.0
7733,12.0,20631,456.0
9764,21.0,885,607.0
5399,33.0,4997,962.0
7025,24.0,10877,20.0
6587,35.0,26284,117.0
9686,27.0,24629,558.0
8366,5.0,17240,352.0
1542,13.0,17915,854.0
6054,10.0,7795,146.0
8581,25.0,26040,880.0
1983,6.0,2494,389.0
6489,12.0,11010,723.0
7851,12.0,24185,372.0
6956,26.0,24877,602.0
8148,35.0,26287,174.0
8436,4.0,7430,914.0
9697,28.0,19175,118.0
4584,11.0,4743,824.0
2272,26.0,3329,903.0
621,26.0,278,5.0
18,34.0,14241,744.0
8716,12.0,4250,53.0
8871,2.0,12600,365.0
2227,13.0,27758,406.0
1846,1.0,19658,237.0
9322,28.0,22011,854.0
498,35.0,5241,424.0
9657,20.0,27442,959.0
4662,4.0,22895,85.0
1334,16.0,15575,960.0
3406,28.0,23923,949.0
9173,2.0,27468,391.0
7328,10.0,24917,295.0
2557,31.0,3277,282.0
295,19.0,14576,353.0
2923,35.0,27024,55.0
693,32.0,23784,1000.0
6730,5.0,7429,423.0
3691,33.0,16647,940.0
3020,26.0,3321,703.0
6974,35.0,9889,727.0
5745,33.0,21795,622.0
2592,28.0,27526,493.0
6055,11.0,7651,242.0
4522,32.0,11667,118.0
6625,6.0,29967,338.0
9472,22.0,3247,858.0
9783,28.0,25816,50.0
2683,23.0,21454,202.0
9366,16.0,6835,832.0
2666,29.0,18142,154.0
8291,1.0,8243,3.0
5273,30.0,16249,118.0
2722,15.0,4870,757.0
4934,27.0,21627,519.0
9541,35.0,11889,363.0
4126,21.0,12870,678.0
8069,13.0,24682,200.0
4425,5.0,7119,644.0
3780,4.0,21691,952.0
9571,4.0,12792,284.0
4787,21.0,24931,596.0
1413,34.0,4248,206.0
895,12.0,11384,103.0
8749,35.0,26325,760.0
7478,2.0,19319,948.0
6928,30.0,7686,259.0
557,3.0,22951,543.0
8340,11.0,227,420.0
7342,17.0,20861,747.0
8299,35.0,7450,830.0
4556,25.0,21802,919.0
7170,33.0,25441,535.0
7793,10.0,10763,303.0
9725,33.0,9741,316.0
9675,28.0,1386,616.0
4143,3.0,17769,982.0
9331,10.0,25058,63.0
7980,5.0,6581,720.0
3978,15.0,1685,563.0
1264,13.0,1617,482.0
719,24.0,3489,51.0
6417,6.0,25700,33.0
6897,22.0,17308,345.0
2373,32.0,21254,745.0
8143,11.0,20042,275.0
6832,24.0,27218,799.0
5,34.0,4453,227.0
6278,32.0,21978,612.0
6746,10.0,23628,949.0
6458,2.0,6941,219.0
7819,3.0,14078,171.0
2626,29.0,8492,356.0
5213,34.0,4700,516.0
1970,8.0,23150,740.0
8440,24.0,19008,43.0
5829,9.0,3428,685.0
2095,10.0,28659,697.0
8069,14.0,24550,236.0
234,19.0,12805,437.0
4717,12.0,28922,88.0
1011,14.0,3204,954.0
906,18.0,20425,979.0
2229,24.0,20101,436.0
7812,10.0,11234,708.0
8894,7.0,28307,469.0
5961,8.0,20436,162.0
3942,10.0,9551,519.0
5704,14.0,46,917.0
5375,19.0,3485,864.0
8522,2.0,1434,266.0
4333,29.0,3584,59.0
6593,9.0,8140,705.0
7880,13.0,13129,38.0
5723,34.0,22249,778.0
5158,23.0,7210,50.0
7273,11.0,17217,394.0
7647,34.0,15866,609.0
8366,31.0,19657,612.0
1693,33.0,5896,79.0
1141,16.0,24608,798.0
2279,28.0,28160,332.0
6760,2.0,18775,487.0
6866,35.0,23117,405.0
6053,32.0,23991,458.0
9628,28.0,6042,733.0
2622,28.0,26248,883.0
6438,2.0,11088,420.0
657,14.0,16456,920.0
9876,28.0,17989,61.0
495,35.0,17363,992.0
1395,27.0,25589,386.0
5752,2.0,17177,401.0
6958,24.0,15902,705.0
7781,23.0,11707,342.0
1717,2.0,20761,213.0
2921,29.0,27303,284.0
8358,17.0,12702,47.0
5660,7.0,15515,825.0
6880,35.0,29129,422.0
5189,4.0,13354,574.0
6017,5.0,27925,714.0
9883,20.0,2233,672.0
5977,12.0,15104,254.0
138,23.0,10015,937.0
2682,24.0,17595,169.0
6610,13.0,6869,60.0
4953,33.0,12751,836.0
8274,33.0,27465,2.0
1121,7.0,22179,6.0
8401,8.0,5507,127.0
6303,10.0,10499,179.0
5788,23.0,14708,394.0
8192,23.0,19749,214.0
1552,20.0,19709,643.0
8986,1.0,9487,900.0
9353,31.0,21846,948.0
7590,24.0,17561,101.0
2458,20.0,5601,844.0
3832,1.0,27477,993.0
6595,35.0,12224,26.0
2579,20.0,9676,663.0
3661,22.0,16990,599.0
9485,27.0,9307,679.0
4941,5.0,24582,435.0
8066,34.0,5024,473.0
8050,17.0,19732,940.0
4022,16.0,27881,999.0
1654,34.0,9719,461.0
554,25.0,9339,100.0
7518,17.0,22902,145.0
3373,23.0,12628,117.0
5619,30.0,5306,206.0
5662,1.0,11736,142.0
3966,5.0,517,403.0
4799,14.0,26381,29.0
813,21.0,2786,508.0
3242,16.0,10127,722.0
3936,7.0,27451,962.0
3792,24.0,14953,68.0
7394,7.0,11857,568.0
6770,23.0,19789,703.0
2,10.0,27739,709.0
6457,11.0,8645,660.0
6853,6.0,23174,454.0
2389,17.0,12136,110.0
1557,7.0,3168,249.0
8617,31.0,4027,276.0
9166,11.0,13824,974.0
9159,33.0,24492,295.0
1900,35.0,10544,139.0
7626,27.0,16062,952.0
8254,28.0,18104,363.0
8912,32.0,17243,746.0
7725,19.0,21420,34.0
754,25.0,11809,212.0
660,21.0,7107,987.0
3418,20.0,15283,598.0
4607,35.0,15740,815.0
8239,28.0,22938,478.0
5305,10.0,25668,233.0
383,5.0,16853,816.0
706,23.0,29220,451.0
5308,28.0,29023,822.0
1145,31.0,1712,368.0
6302,15.0,23198,28.0
1926,18.0,27116,942.0
922,9.0,342,478.0
6246,28.0,3434,960.0
4954,23.0,4254,514.0
66,18.0,5820,225.0
9915,1.0,24102,138.0
9759,31.0,11733,407.0
229,33.0,22835,951.0
8567,8.0,2973,941.0
7527,10.0,4292,135.0
8490,8.0,5320,736.0
3629,24.0,27104,835.0
4389,17.0,11562,827.0
396,21.0,26539,165.0
6419,15.0,18388,966.0
8985,3.0,16279,800.0
746,28.0,23283,178.0
9382,24.0,10667,333.0
7017,10.0,1055,36.0
9855,7.0,17220,491.0
